Tatouage,Description,CodeEx,Axe,Sens,Pr,État,Dans tunnel,Tunnel,Segment,Parent,GPS,triCode,Fermeture
L10.223V,Niche sécurité NSI-001 (n°P02) - PAU RW75D - Tunnel de Belle-Rive,NSI-001/BEL,A86OUEST,I,"75,0745",EXPLOI,Oui,BELLE-RIVE,12005634,,"48.876460,2.161686",RUE,RUE-I
L11.055L,Niche sécurité NSE-001 - PAU RS52R - Tunnel d'Antony,NSE-001/ANT,A86SUD,E,"52,112",EXPLOI,Oui,ANTONY,12005656,,"48.761894,2.299986",ANT,FRE&ANT-E
L11.056M,Niche sécurité NSE-002 - PAU RS52S - Tunnel d'Antony,NSE-002/ANT,A86SUD,E,"52,088",EXPLOI,Oui,ANTONY,12005656,,"48.762566,2.303042",ANT,FRE&ANT-E
L11.057N,Niche sécurité NSE-003 - PAU RS52T - Tunnel d'Antony,NSE-003/ANT,A86SUD,E,"52,067",EXPLOI,Oui,ANTONY,12005656,,"48.763220,2.305711",ANT,FRE&ANT-E
L11.058P,Niche sécurité NSE-004 - PAU RS52U - Tunnel d'Antony,NSE-004/ANT,A86SUD,E,"52,046",EXPLOI,Oui,ANTONY,12005656,,"48.763470,2.308497",ANT,FRE&ANT-E
L11.059R,Niche sécurité NSE-005 - PAU RS52V - Tunnel d'Antony,NSE-005/ANT,A86SUD,E,"52,0276",EXPLOI,Oui,ANTONY,12011831,,"48.763050,2.310972",ANT,FRE&ANT-E
L11.061T,Niche sécurité NSI-001 - PAU RS52A - Tunnel d'Antony,NSI-001/ANT,A86SUD,I,"52,028",EXPLOI,Oui,ANTONY,12005591,,"48.763206,2.311047",ANT,FRE&ANT-I
L11.062U,Niche sécurité NSI-002 - PAU RS52B - Tunnel d'Antony,NSI-002/ANT,A86SUD,I,"52,0462",EXPLOI,Oui,ANTONY,12005592,,"48.763638,2.308500",ANT,FRE&ANT-I
L11.063V,Niche sécurité NSI-003 - PAU RS52C - Tunnel d'Antony,NSI-003/ANT,A86SUD,I,"52,0675",EXPLOI,Oui,ANTONY,12005592,,"48.763344,2.305681",ANT,FRE&ANT-I
L11.064W,Niche sécurité NSI-004 - PAU RS52D - Tunnel d'Antony,NSI-004/ANT,A86SUD,I,"52,088",EXPLOI,Oui,ANTONY,12005592,,"48.762726,2.302961",ANT,FRE&ANT-I
L11.065X,Niche sécurité NSI-005 - PAU RS52E - Tunnel d'Antony,NSI-005/ANT,A86SUD,I,"52,112",EXPLOI,Oui,ANTONY,12005592,,"48.762020,2.299931",ANT,FRE&ANT-I
L11.066Y,Niche sécurité NSE-001 - PAU RN22S - Tunnel de Bobigny,NSE-001/BOB,A86NORD,E,"22,0303",EXPLOI,Oui,BOBIGNY,12005466,,"48.907455,2.454744",BDR,BLN&CRN-E
L11.067A,Niche sécurité NSE-002 - PAU RN22T - Tunnel de Bobigny,NSE-002/BOB,A86NORD,E,"22,0223",EXPLOI,Oui,BOBIGNY,12005466,,"48.907760,2.453650",BDR,BLN&CRN-E
L11.068C,Niche sécurité NSE-003 - PAU RN22U - Tunnel de Bobigny,NSE-003/BOB,A86NORD,E,"22,0003",EXPLOI,Oui,BOBIGNY,12005466,,"48.908500,2.450869",BDR,BLN&CRN-E
L11.069D,Niche sécurité NSE-004 - PAU RN21R - Tunnel de Bobigny,NSE-004/BOB,A86NORD,E,"21,077",EXPLOI,Oui,BOBIGNY,12005465,,"48.909332,2.447969",BDR,BLN&CRN-E
L11.071F,Niche sécurité NSE-005 - PAU RN21S - Tunnel de Bobigny,NSE-005/BOB,A86NORD,E,"21,0573",EXPLOI,Oui,BOBIGNY,12005465,,"48.909973,2.445622",BDR,BLN&CRN-E
L11.072G,Niche sécurité NSE-006 - PAU RN21T - Tunnel de Bobigny,NSE-006/BOB,A86NORD,E,"21,0376",EXPLOI,Oui,BOBIGNY,12006939,,"48.910934,2.442453",BDR,BLN&CRN-E
L11.073H,Niche sécurité NSE-008 - PAU RN21U - Tunnel de Bobigny,NSE-008/BOB,A86NORD,E,"21,0213",EXPLOI,Oui,BOBIGNY,12005463,,"48.911366,2.441078",BDR,BLN&CRN-E
L11.074J,Niche sécurité NSE-010 - PAU RN20R - Tunnel de Bobigny,NSE-010/BOB,A86NORD,E,"20,0894",EXPLOI,Oui,BOBIGNY,12005463,,"48.912613,2.437442",BDR,BLN&CRN-E
L11.075K,Niche sécurité NSE-012 - PAU RN20S - Tunnel de Bobigny,NSE-012/BOB,A86NORD,E,"20,0647",EXPLOI,Oui,BOBIGNY,12005461,,"48.913746,2.434375",BDR,BLN&CRN-E
L11.076L,Niche sécurité NSE-013 - PAU RN20T - Tunnel de Bobigny,NSE-013/BOB,A86NORD,E,"20,0523",EXPLOI,Oui,BOBIGNY,12005461,,"48.914204,2.432850",BDR,BLN&CRN-E
L11.077M,Niche sécurité NSE-014 - PAU RN20U - Tunnel de Bobigny,NSE-014/BOB,A86NORD,E,"20,0339",EXPLOI,Oui,BOBIGNY,12005461,,"48.915134,2.431000",BDR,BLN&CRN-E
L11.078N,Niche sécurité NSE-101 - PAU RN20V - Tunnel de Bobigny,NSE-101/BOB,A86NORD,E,"20,005",EXPLOI,Non,BOBIGNY,12005461,,"48.917450,2.429425",BDR,BLN&CRN-E
L11.079P,Niche sécurité NSI-001 - PAU RN20A - Tunnel de Bobigny,NSI-001/BOB,A86NORD,I,"20,012",EXPLOI,Oui,BOBIGNY,12005278,,"48.916740,2.429317",BDR,BLN&CRN-I
L11.081S,Niche sécurité NSI-002 - PAU RN20B - Tunnel de Bobigny,NSI-002/BOB,A86NORD,I,"20,0343",EXPLOI,Oui,BOBIGNY,12005278,,"48.915054,2.430497",BDR,BLN&CRN-I
L11.082T,Niche sécurité NSI-003 - PAU RN20C - Tunnel de Bobigny,NSI-003/BOB,A86NORD,I,"20,0524",EXPLOI,Oui,BOBIGNY,12006941,,"48.913960,2.432622",BDR,BLN&CRN-I
L11.083U,Niche sécurité NSI-004 - PAU RN20D - Tunnel de Bobigny,NSI-004/BOB,A86NORD,I,"20,0687",EXPLOI,Oui,BOBIGNY,12005280,,"48.913338,2.434225",BDR,BLN&CRN-I
L11.084V,Niche sécurité NSI-006 - PAU RN20E - Tunnel de Bobigny,NSI-006/BOB,A86NORD,I,"20,094",EXPLOI,Oui,BOBIGNY,12005280,,"48.912290,2.437311",BDR,BLN&CRN-I
L11.085W,Niche sécurité NSI-008 - PAU RN21A - Tunnel de Bobigny,NSI-008/BOB,A86NORD,I,"21,0122",EXPLOI,Oui,BOBIGNY,12005280,,"48.911427,2.439797",BDR,BLN&CRN-I
L11.086X,Niche sécurité NSI-010 - PAU RN21B - Tunnel de Bobigny,NSI-010/BOB,A86NORD,I,"21,0335",EXPLOI,Oui,BOBIGNY,12005281,,"48.910656,2.441981",BDR,BLN&CRN-I
L11.087Y,Niche sécurité NSI-011 - PAU RN21C - Tunnel de Bobigny,NSI-011/BOB,A86NORD,I,"21,049",EXPLOI,Oui,BOBIGNY,12005281,,"48.910380,2.443206",BDR,BLN&CRN-I
L11.088A,Niche sécurité NSI-013 - PAU RN21D - Tunnel de Bobigny,NSI-013/BOB,A86NORD,I,"21,0699",EXPLOI,Oui,BOBIGNY,12005281,,"48.909300,2.446828",BDR,BLN&CRN-I
L11.089C,Niche sécurité NSI-014 - PAU RN21E - Tunnel de Bobigny,NSI-014/BOB,A86NORD,I,"21,0918",EXPLOI,Oui,BOBIGNY,12005283,,"48.908535,2.449564",BDR,BLN&CRN-I
L11.091E,Niche sécurité NSI-015 - PAU RN22A - Tunnel de Bobigny,NSI-015/BOB,A86NORD,I,"22,011",EXPLOI,Oui,BOBIGNY,12005283,,"48.907800,2.452167",BDR,BLN&CRN-I
L11.092F,Niche sécurité NSI-016 - PAU RN22B - Tunnel de Bobigny,NSI-016/BOB,A86NORD,I,"22,0292",EXPLOI,Oui,BOBIGNY,12005283,,"48.907066,2.454878",BDR,BLN&CRN-I
L11.093G,Niche sécurité NSW-001 - PAU MR01S - Tunnel Ambroise Paré,NSW-001/PAR,A13,W,"1,0786",EXPLOI,Oui,AMBROISE_PARE,12004560,,"48.848152,2.232595",BAP,BAP&SCL-W
L11.094H,Niche sécurité NSW-002 - PAU MR01T - Tunnel Ambroise Paré,NSW-002/PAR,A13,W,"1,0617",EXPLOI,Oui,AMBROISE_PARE,12004560,,"48.848087,2.234893",BAP,BAP&SCL-W
L11.095J,Niche sécurité NSW-003 - PAU MR01U - Tunnel Ambroise Paré,NSW-003/PAR,A13,W,"1,0536",EXPLOI,Oui,AMBROISE_PARE,12004560,,"48.848110,2.236001",BAP,BAP&SCL-W
L11.096K,Niche sécurité NSW-004 - PAU MR01V - Tunnel Ambroise Paré,NSW-004/PAR,A13,W,"1,0377",EXPLOI,Oui,AMBROISE_PARE,12004560,,"48.848230,2.238086",BAP,BAP&SCL-W
L11.097L,Niche sécurité NSW-005 - PAU MR01W - Tunnel Ambroise Paré,NSW-005/PAR,A13,W,"1,0222",EXPLOI,Oui,AMBROISE_PARE,12004560,,"48.848198,2.240264",BAP,BAP&SCL-W
L11.098M,Niche sécurité NSW-006 - PAU MR01X - Tunnel Ambroise Paré,NSW-006/PAR,A13,W,"1,0129",EXPLOI,Oui,AMBROISE_PARE,12004560,,"48.848186,2.241539",BAP,BAP&SCL-W
L11.099N,Niche sécurité NSW-007 - PAU MR00R - Tunnel Ambroise Paré,NSW-007/PAR,A13,W,"0,0985",EXPLOI,Oui,AMBROISE_PARE,12004558,,"48.848190,2.243586",BAP,BAP&SCL-W
L11.102S,Niche sécurité NSY-001 - PAU MR00B - Tunnel Ambroise Paré,NSY-001/PAR,A13,Y,"0,0974",EXPLOI,Oui,AMBROISE_PARE,12004612,,"48.848568,2.243572",BAP,BAP&SCL-Y
