CodeEx,Tatouage,triCode,Sens,Fermeture
NSW-004/ORLY,L11.661G,ORL,W,ORL
NSW-003/ORLY,L11.662H,ORL,W,ORL
NSW-002/ORLY,L11.664K,ORL,W,ORL
NSW-001/ORLY,L11.666M,ORL,W,ORL
NSY-001/CHA,L11.742D,CHA,Y,CHA-Y
NSE/SAUSSAIE,L11.769K,MOU,E,GMO&MOU-E
NSS/SAUSSAIE,L11.771M,MOU,E,GMO&MOU-E
NSI-007/BOB,L11.804C,BDR,I,BLN&CRN-I
NSI-009/BOB,L11.805D,BDR,I,BLN&CRN-I
NSI-012/BOB,L11.806E,BDR,I,BLN&CRN-I
NSE-007/BOB,L11.807F,BDR,E,BLN&CRN-E
NSE-011/BOB,L11.808G,BDR,E,BLN&CRN-E
NSE-009/BOB,L11.809H,BDR,E,BLN&CRN-E
NSI-005/BOB,L11.811K,BDR,I,BLN&CRN-I
NSW-001/TRI,L11.861U,,W,
NSW-002/TRI,L11.862V,,W,
NSY-001/TRI,L11.863W,,Y,
NSY-002/TRI,L11.864X,,Y,
PN6-W,L11.902T,BOI,W,BOI-W
PN7-W,L11.903U,BOI,W,BOI-W
PN8-W,L11.904V,BOI,W,BOI-W
PN9-W,L11.905W,BOI,W,BOI-W
PN6-Y,L11.906X,BOI,Y,BOI-Y
PN7-Y,L11.907Y,BOI,Y,BOI-Y
PN8-Y,L11.908A,BOI,Y,BOI-Y
PN9-Y,L11.909C,BOI,Y,BOI-Y
NSY-002/FON,L11.938L,FLF,Y,FLF-Y
NS-421a/FON,L11.939M,FLF,Y,FLF-Y
NSY-003/FON,L11.941P,FLF,Y,FLF-Y
NS-421b/FON,L11.942R,FLF,Y,FLF-Y
NSW-002/FON,L11.943S,FLF,W,FLF-W
NS-423a/FON,L11.944T,FLF,W,FLF-W
NSW-003/FON,L11.945U,FLF,W,FLF-W
NS-423b/FON,L11.946V,FLF,W,FLF-W
NSEY/FON,L11.947W,FLF,Y,FLF-Y
NSSY/FON,L11.948X,FLF,Y,FLF-Y
NSEW/FON,L11.949Y,FLF,W,FLF-W
NSSW/FON,L11.951C,FLF,W,FLF-W
NAN-NSEE/DEF,L11.959L,NAN,E,NAN-E
